Action,without app,with app
jmeter_login_and_view_dashboard,640,732
jmeter_view_issue,268,308
jmeter_view_dashboard,428,564
jmeter_search_jql,739,1077
jmeter_open_quick_create,86,118
jmeter_view_backlog,479,739
jmeter_create_issue,346,748
jmeter_view_project_summary,988,394
jmeter_open_editor,115,154
jmeter_save_edit,486,642
jmeter_browse_projects,70,116
jmeter_open_comment,109,128
jmeter_save_comment,256,362
jmeter_browse_boards,92,153
jmeter_view_kanban_board,1304,1705
jmeter_view_scrum_board,211,319
selenium_login:open_login_page,113,134
selenium_login:login_and_view_dashboard,1268,712
selenium_login,1376,842
selenium_browse_projects_list,343,374
selenium_browse_boards_list,721,755
selenium_create_issue:open_quick_create,752,762
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,611,1121
selenium_create_issue:fill_and_submit_issue_form,1198,1683
selenium_create_issue,1936,2405
selenium_edit_issue:open_edit_issue_form,671,712
selenium_edit_issue:save_edit_issue_form,661,688
selenium_edit_issue,1593,1667
selenium_save_comment:open_comment_form,396,397
selenium_save_comment:submit_form,867,1098
selenium_save_comment,1398,1687
selenium_search_jql,1190,1495
selenium_view_scrum_board_backlog,639,1256
selenium_view_scrum_board,1044,1070
selenium_view_kanban_board,1742,1979
selenium_view_dashboard,590,810
selenium_view_issue,677,686
selenium_project_summary,497,579
selenium_log_out,342,412
